id,source,country,title,date,century,type,medium,place,accession,credit,provenance,openImage,image,url,dataLicence,matchBasis,strength
aic-148361,Art Institute of Chicago,USA,Goddess Tara with Hand in Gesture of Reassurance (Abhayamudra),15th century,15th c.,Sculpture,Wood and pigments,Kathmandu Valley,2014.1035,Gift of Marilynn B. Alsdorf,"David Tremayne, London; sold to James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL, Apr. 29, 1982 [receipt from David Tremayne, Apr. 29, 1982; copy in curatorial object file]; by descent to Marilynn B. Alsdorf, Chicago, 1990 [on long-term loan at the Art Institute of Chicago, June 18, 1997; promised as a gift to the Art Institute of Chicago, Mar. 11, 2002]; given to the Art Institute of Chicago, Nov. 19, 2014.",True,"https://www.artic.edu/iiif/2/c703a989-6715-90f9-1128-f276a3c26e7e/full/843,/0/default.jpg",https://www.artic.edu/artworks/148361,CC0 (description field CC-BY),place_of_origin: Kathmandu Valley,strong
aic-148389,Art Institute of Chicago,USA,"Head of Bhairava, A Horrific Form of God Shiva","Malla period, 16th/17th century",17th c.,Sculpture,Gilt copper worked in repoussé with pigments,Nepal,2014.1023,Gift of Marilynn B. Alsdorf,"Dale Crawford, London; sold to James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL, Mar. 27, 1986 [receipt from Dale Crawford, Mar. 27, 1986; copy in curatorial object file]; by descent to Marilynn B. Alsdorf, Chicago, 1990 [on long-term loan at the Art Institute of Chicago, June 18, 1997; promised as a gift to the Art Institute of Chicago, 2010]; given to the Art Institute of Chicago, Nov. 19, 2014.",True,"https://www.artic.edu/iiif/2/5f8791d8-cc69-6299-4ca6-482384cfeda8/full/843,/0/default.jpg",https://www.artic.edu/artworks/148389,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-99656,Art Institute of Chicago,USA,Votive Plaque with God Vishnu,19th century,19th c.,Religious/Ritual Object,"Gilt bronze with ivory, semiprecious stones, crystal, and glass",Kathmandu Valley,1982.1674,James W. and Marilynn Alsdorf Collection,"James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL; given to the Art Institute of Chicago, Dec. 29, 1982.",True,"https://www.artic.edu/iiif/2/55d27e30-5519-7726-9862-1d4b1754d231/full/843,/0/default.jpg",https://www.artic.edu/artworks/99656,CC0 (description field CC-BY),place_of_origin: Kathmandu Valley,strong
aic-130700,Art Institute of Chicago,USA,Necklace Inscribed with the Name of King Pratapamalladeva,About 1650,17th c.,Costume and Accessories,Gilt copper with semiprecious stones,Kathmandu Valley,2010.575,Gift of the Alsdorf Foundation,"Bruce Miller Antiquities, Kathmandu and Sausalito, CA; sold to the Alsdorf Foundation, Chicago, IL, June 22, 1976 [invoice from Bruce Miller Antiquities, June 22, 1976; copy in curatorial object file]; [on long-term loan at the Art Institute of Chicago, July 8, 1976; promised as a gift to the Art Institute of Chicago, Mar. 11, 2002]; given to the Art Institute of Chicago, Dec. 31, 2010.",True,"https://www.artic.edu/iiif/2/01d1c548-fabe-3d7b-5b6f-dd430dd9faad/full/843,/0/default.jpg",https://www.artic.edu/artworks/130700,CC0 (description field CC-BY),place_of_origin: Kathmandu Valley,strong
aic-47166,Art Institute of Chicago,USA,"God Vishnu's Mount, Garuda, Standing with Hands in Gesture of Adoration (Anjalimudra)",13th century,13th c.,Sculpture,Gilt bronze with gemstones,Nepal,1974.235,Kate S. Buckingham Fund,"Marinos Costeletos (1934–2022), London; sold to the Art Institute of Chicago, June 16, 1975.",True,"https://www.artic.edu/iiif/2/53ffd209-674f-4ae0-4946-6805efd313de/full/843,/0/default.jpg",https://www.artic.edu/artworks/47166,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-109571,Art Institute of Chicago,USA,Tantric Temple Banner of a Dancing Goddess Flanked by Dakinis,17th century,17th c.,Painting,Pigments and black ink on cloth,Nepal,1984.1503,James W. and Marilynn Alsdorf Collection,"James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL, by Feb. 8, 1983 [on long-term loan at the Art Institute of Chicago, Feb. 8, 1983]; given to the Art Institute of Chicago, 1984.",True,"https://www.artic.edu/iiif/2/63eaedfa-b775-0700-b251-ae29dcc2d9c3/full/843,/0/default.jpg",https://www.artic.edu/artworks/109571,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-180204,Art Institute of Chicago,USA,"Arjuna Slays Karna, page from a Mahabharata series",c. 19th century,19th c.,Painting,Opaque watercolor on paper,Nepal,2002.629,Gift of Pratapaditya and Chitra Pal,"Dr. Pratapaditya and Chitra Pal, Los Angeles; given to the Art Institute of Chicago, Dec. 30, 2002.",True,"https://www.artic.edu/iiif/2/f9b8e473-ad03-6b0a-16c9-cc7163189bfa/full/843,/0/default.jpg",https://www.artic.edu/artworks/180204,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-131816,Art Institute of Chicago,USA,"Ushnishavijaya Within a Chaitya, Commemorating the Laksha Chaitya Vrata (Thousand Chaitya Ritual), with Dated Inscription",1513,16th c.,Painting,Opaque watercolor with gold on cotton,Nepal,2014.1040,Gift of Marilynn B. Alsdorf,"James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL; by descent to Marilynn B. Alsdorf, Chicago, 1990 [on long-term loan at the Art Institute of Chicago, Apr. 6, 1983; promised as a gift to the Art Institute of Chicago, Mar. 11, 2002]; given to the Art Institute of Chicago, Nov. 19, 2014.",True,"https://www.artic.edu/iiif/2/364b5f36-e213-f288-f5b2-c24122e81c39/full/843,/0/default.jpg",https://www.artic.edu/artworks/131816,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-148354,Art Institute of Chicago,USA,"God Vishnu's Mount, Garuda, Kneeling with Hands in Gesture of Adoration (Anjalimudra)",14th century,14th c.,Sculpture,Schist,Kathmandu Valley,1997.724,Gift of Marilynn B. Alsdorf,"Joseph G. Gerena, New York, by Oct. 26, 1989; sold to James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL; by descent to Marilynn B. Alsdorf, Chicago, 1990; given to the Art Institute of Chicago, Dec. 30, 1997.",True,"https://www.artic.edu/iiif/2/45e1c786-3585-857a-0630-39923dde0111/full/843,/0/default.jpg",https://www.artic.edu/artworks/148354,CC0 (description field CC-BY),place_of_origin: Kathmandu Valley,strong
aic-144905,Art Institute of Chicago,USA,Mother Goddess Brahmani Seated in a Yogic Posture Holding a Water Pot,13th century,13th c.,Sculpture,Copper alloy,Nepal,2014.1016,Gift of Marilynn B. Alsdorf,"Possibly with James Singer, London; sold to James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL, Apr. 3, 1980 [receipt from James Singer, Apr. 3, 1980; copy in curatorial object file]; by descent to Marilynn B. Alsdorf, Chicago, 1990 [on long-term loan at the Art Institute of Chicago, Aug. 9, 1996; promised as a gift to the Art Institute of Chicago, 2002]; given to the Art Institute of Chicago, Nov. 19, 2014.",True,"https://www.artic.edu/iiif/2/4e773eb1-7b37-fb4f-5d6c-6c9a6889bafe/full/843,/0/default.jpg",https://www.artic.edu/artworks/144905,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-127634,Art Institute of Chicago,USA,The Sage Agastya Seated in Meditation on his Water Pot (Kumbha),15th century,15th c.,Sculpture,Gilt bronze,Nepal,1974.236,Kate S. Buckingham Fund,"Marinos Costeletos, London; sold to the Art Institute of Chicago, June 16, 1975.",True,"https://www.artic.edu/iiif/2/0855f785-2cab-4795-1cfb-71574169a52f/full/843,/0/default.jpg",https://www.artic.edu/artworks/127634,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-184641,Art Institute of Chicago,USA,Manuscript Cover from the Glorification of the Great Goddess (Devimahatmya),18th century,18th c.,Religious/Ritual Object,Pigments on wood,Nepal,2004.1156,Gift of Michele Wiener Caplan,"Nancy Wiener Gallery, New York; given to the Art Institute of Chicago, Dec. 31, 2004.",True,"https://www.artic.edu/iiif/2/2690393c-7b0c-2cb9-92c5-d063412f6236/full/843,/0/default.jpg",https://www.artic.edu/artworks/184641,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-184668,Art Institute of Chicago,USA,One of a Pair of Manuscript Covers from the Perfection of Wisdom Sutra (Ashtasahasrika Prajnaparamita Sutra),c. 17th century,17th c.,Painting,Pigments and metallic paint on wood,Nepal,2004.1165a,Gift of Nancy Wiener; Kate S. Buckingham Endowment Fund,"Nancy Wiener Gallery, New York; given to the Art Institute of Chicago as a partial gift and partial exchange, Dec. 31, 2004.",True,"https://www.artic.edu/iiif/2/ba490e49-d2dc-907d-2809-ef22ff15f547/full/843,/0/default.jpg",https://www.artic.edu/artworks/184668,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-104987,Art Institute of Chicago,USA,Six-Armed God Ganesha,17th century,17th c.,Sculpture,Bronze with traces of red pigment,Nepal,1985.1029,James W. and Marilynn Alsdorf Collection,"Possibly with Doris Wiener, New York; sold to James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL, Dec. 24, 1975 [receipt from Doris Wiener, Dec. 24, 1975; copy in curatorial object file]; given to the Art Institute of Chicago, Dec. 30, 1985.",True,"https://www.artic.edu/iiif/2/013043fc-b759-1a03-e7b1-f6e315bf7e25/full/843,/0/default.jpg",https://www.artic.edu/artworks/104987,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-151120,Art Institute of Chicago,USA,"God Vishnu's Mount, Garuda, Standing with Hands in Gesture of Adoration (Anjalimudra)",11th century or earlier,11th c.,Sculpture,Schist,Kathmandu Valley,2006.183,Gift of Marilynn B. Alsdorf,"C. Whozer, Kathmandu, Nepal, by June 1979 [correspondence from C. Whozer, Aug. 20, 1979; copy in curatorial object file]; sold to Bruce Miller Antiquities, Kathmandu and Sausalito, CA, by Aug. 1979; sold to James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL, Aug. 29, 1979 [invoice from Bruce Miller Antiquities, Aug. 29, 1979; copy in curatorial object file]; by descent to Marilynn B. Alsdorf, Chicago, 1990 [on long-term loan at the Art Institute of Chicago, Mar. 5, 1999]; given to the Art Institute of Chicago, 2006.",True,"https://www.artic.edu/iiif/2/e174e943-4e1c-befc-28bf-dabb9ad30e7d/full/843,/0/default.jpg",https://www.artic.edu/artworks/151120,CC0 (description field CC-BY),place_of_origin: Kathmandu Valley,strong
aic-148371,Art Institute of Chicago,USA,"Jvaradeva, God of Fever",14th/15th century,15th c.,Sculpture,Gray schist,Nepal,2014.1021,Gift of Marilynn B. Alsdorf,"James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL, by 1990 [according to the collecting practices of the Alsdorfs]; by descent to Marilynn B. Alsdorf, Chicago, 1990 [on long-term loan at the Art Institute of Chicago, July 15, 1997; publicly promised as a gift to the Art Institute of Chicago, 1997; signed a promised gift agreement for the work, 2002]; given to the Art Institute of Chicago, 2014.",True,"https://www.artic.edu/iiif/2/a6fb16e0-e302-3581-c5de-5803e5352c27/full/843,/0/default.jpg",https://www.artic.edu/artworks/148371,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-184665,Art Institute of Chicago,USA,One of a Pair of Manuscript Covers of the Five Transcendent Buddhas,12th century,12th c.,Religious/Ritual Object,Pigments and metallic paint on wood,Nepal,2004.1163a,Gift of Nancy Wiener,"Nancy Wiener Gallery, New York; given to the Art Institute of Chicago, Dec. 31, 2004.",True,"https://www.artic.edu/iiif/2/e548bd7a-21a5-d1ad-5ecd-d1ee6ff7d73b/full/843,/0/default.jpg",https://www.artic.edu/artworks/184665,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-185008,Art Institute of Chicago,USA,One of a Pair of Manuscript Covers from the Glorification of the Great Goddess (Devimahatmya),18th century,18th c.,Painting,Pigments and metallic paint on wood,Nepal,2005.614b,Kate S. Buckingham Endowment Fund,"Nancy Wiener Gallery, New York; given to the Art Institute of Chicago, Dec. 31, 2004.",True,"https://www.artic.edu/iiif/2/53eb3c01-e31d-1688-e3c1-a90c1dbf09d4/full/843,/0/default.jpg",https://www.artic.edu/artworks/185008,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-152832,Art Institute of Chicago,USA,Buddhist Goddess Tara,15th century,15th c.,Sculpture,Wood with traces of polychrome,Nepal,1998.747,Gift of Marilynn B. Alsdorf,"David Tremayne, London; sold to James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL, Apr. 6, 1982 [correspondence between David Tremayne and James W. Alsdorf, June 1, 1982; copy in curatorial object file]; by descent to Marilynn B. Alsdorf, Chicago, 1990 [on long-term loan at the Art Institute of Chicago, June 18, 1997]; given to the Art Institute of Chicago, Dec. 30, 1998.",True,"https://www.artic.edu/iiif/2/59b80d21-deb9-88b1-f0bb-a336934e7f6a/full/843,/0/default.jpg",https://www.artic.edu/artworks/152832,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-60209,Art Institute of Chicago,USA,Set of Three Shrine Ornaments with Two Crocodiles (Makara) and a Serpent King (Nagaraja),16th/17th century,17th c.,Religious/Ritual Object,"Gilt copper worked in repoussé, with traces of red pigment",Nepal,1980.273a-c,Russell Tyson Fund,"Robert Stolper, London; sold to the Art Institute of Chicago, Oct. 3, 1980.",True,"https://www.artic.edu/iiif/2/7d1fba39-ab03-30d5-eccb-1fa6e46eef28/full/843,/0/default.jpg",https://www.artic.edu/artworks/60209,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-104993,Art Institute of Chicago,USA,"Hindu Manuscript Cover with Ganesha, Brahma, Shiva and Parvati, Vishnu, and Karttikeya",late 15th/early 16th century,16th c.,Book,Pigments and metallic paint on wood,Nepal,1985.1035,James W. and Marilynn Alsdorf Collection,"James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL, by Feb. 8, 1983 [on long-term loan at the Art Institute of Chicago, Feb. 8, 1983]; given to the Art Institute of Chicago, Dec. 31, 1985.",True,"https://www.artic.edu/iiif/2/40c5c5a4-b35d-b553-59d0-089cc67ec911/full/843,/0/default.jpg",https://www.artic.edu/artworks/104993,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-214077,Art Institute of Chicago,USA,"Fragment of a Plaque with Dancing Mother Goddesses Varahi, Kaumari and Chamunda",c. 10th/11th century,11th c.,Sculpture,Copper repoussé,Nepal,1996.431b,Helen A. Regenstein Endowment,"With Arnold H. Lieberman, New York, by Apr. 29, 1996; sold to the Art Institute of Chicago, Sept. 9, 1996.",True,"https://www.artic.edu/iiif/2/f4e9d64e-6fce-e634-d95e-8fd7ea838a20/full/843,/0/default.jpg",https://www.artic.edu/artworks/214077,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-184659,Art Institute of Chicago,USA,Manuscript Cover from the Glorification of the Great Goddess (Devimahatmya),18th century,18th c.,Religious/Ritual Object,Pigments on wood,Nepal,2004.1157,Gift of Michele Wiener Caplan,"Nancy Wiener Gallery, New York; given to the Art Institute of Chicago, Dec. 31, 2004.",True,"https://www.artic.edu/iiif/2/25b5d918-65e2-60d3-273d-1e38dfb90149/full/843,/0/default.jpg",https://www.artic.edu/artworks/184659,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-144913,Art Institute of Chicago,USA,Tantric Goddess Kamakala and Spouse in Ritual Embrace (yab-yum),14th/15th century,15th c.,Sculpture,Bronze,Nepal,2014.1018,Gift of Marilynn B. Alsdorf,"James W. Alsdorf (1913-1990) and Marilynn B. Alsdorf (1925-2019), Winnetka and Chicago, IL; by descent to Marilynn B. Alsdorf, 1990 [on long-term loan at the Art Institute of Chicago, Aug. 9, 1996; promised as a gift to the Art Institute of Chicago, Mar. 11, 2002]; given to the Art Institute of Chicago, Nov. 19, 2014.",True,"https://www.artic.edu/iiif/2/d7fe2057-027b-0a5e-ab27-6a186a64fd67/full/843,/0/default.jpg",https://www.artic.edu/artworks/144913,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-148376,Art Institute of Chicago,USA,"Kumara, the Youthful God of War on his Peacock Mount",8th/9th century,9th c.,Sculpture,Gray schist,Kathmandu Valley,2014.1027,Gift of Marilynn B. Alsdorf,"With Spink & Son, London; sold to James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL, July 26, 1983 [invoice from Spink & Son, July 26, 1983; copy in curatorial object file]; by descent to Marilynn B. Alsdorf, Chicago, 1990 [publicly promised as a gift to the Art Institute of Chicago, 1997; on long-term loan at the Art Institute of Chicago, July 15, 1997; signed a promised gift agreement for the work, 2002 and 2010]; given to the Art Institute of Chicago, Nov. 19, 2014.",True,"https://www.artic.edu/iiif/2/ec151e1e-632c-ac2e-4bfb-41a3f931ea9e/full/843,/0/default.jpg",https://www.artic.edu/artworks/148376,CC0 (description field CC-BY),place_of_origin: Kathmandu Valley,strong
aic-60237,Art Institute of Chicago,USA,"Krishna's Marriage to Kalinda, page from a Dispersed Bhagavata Purana manuscript",c. 1775,18th c.,Painting,Opaque watercolor on paper,Nepal,1980.278,Purchased with funds provided by the Joseph and Helen Regenstein Foundation in honor of Everett McNear,"Maggs Brothers, London; sold to the Art Institute of Chicago, Oct. 3, 1980.",True,"https://www.artic.edu/iiif/2/2691b235-3ab2-c2cb-6c16-030357606e04/full/843,/0/default.jpg",https://www.artic.edu/artworks/60237,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-148368,Art Institute of Chicago,USA,"God Vishnu with Goddess Lakshmi and His Mount, Garuda, in Attendance",11th century,11th c.,Sculpture,Schist,Kathmandu Valley,2014.1026,Gift of Marilynn B. Alsdorf,"Possibly with Spink & Son, London [invoice from Spink & Son, June 4, 1984; copy in curatorial object file]; sold to James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL, June 4, 1984; by descent to Marilynn B. Alsdorf, Chicago, 1990 [on long-term loan at the Art Institute of Chicago, Jul. 15, 1997; publicly promised as a gift to the Art Institute of Chicago, 1997; signed a promised gift agreement for the work, 2002 and 2010]; given to the Art Institute of Chicago, Nov. 19, 2014.",True,"https://www.artic.edu/iiif/2/be22214e-92af-4cd8-43cc-6bdd91cc9e80/full/843,/0/default.jpg",https://www.artic.edu/artworks/148368,CC0 (description field CC-BY),place_of_origin: Kathmandu Valley,strong
aic-46269,Art Institute of Chicago,USA,"Rukmini Seeks Krishna's Permission to Visit her Brother Rukma, page from a Dispersed Bhagavata Purana manuscript",c. 1775,18th c.,Painting,Opaque watercolor on paper,Nepal,1973.837,Gift of Everett McNear,"Everett McNear (1904–1984), Chicago; sold to the Art Institute of Chicago, Dec. 28, 1973.",True,"https://www.artic.edu/iiif/2/5ff756af-75f0-b1e7-60b9-a93440972bd2/full/843,/0/default.jpg",https://www.artic.edu/artworks/46269,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-27516,Art Institute of Chicago,USA,"Mayadevi, Mother of the Buddha",19th century,19th c.,Sculpture,Bronze with coral inlay,Nepal,1967.336a-d,Gift of Mr. and Mrs. Marvin N. Stone,"Mr. and Mrs. Marvin N. Stone, Chicago; given to the Art Institute of Chicago, June 7, 1967.",True,"https://www.artic.edu/iiif/2/f5e03f92-c44a-1ce3-6dbb-905413864abe/full/843,/0/default.jpg",https://www.artic.edu/artworks/27516,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-151102,Art Institute of Chicago,USA,Goddess Green Tara Standing with Hand in Gesture of Gift-Giving (varadamudra),10th century,10th c.,Sculpture,Copper alloy,Nepal,2014.1034,Gift of Marilynn B. Alsdorf,"Possibly Doris Wiener Gallery, New York; sold to James W. Alsdorf (1913–1990) and Marilynn B. Alsdorf (1925–2019), Winnetka and Chicago, IL, Apr. 22, 1978 [receipt from Doris Wiener, Apr. 22, 1978; copy in curatorial object file]; by descent to Marilynn B. Alsdorf, Chicago, 1990 [on long-term loan at the Art Institute of Chicago, Sept. 17, 1997; promised as a gift to the Art Institute of Chicago, Mar. 11, 2002]; given to the Art Institute of Chicago, Nov. 19, 2014.",True,"https://www.artic.edu/iiif/2/d7a446d0-5fad-0ae8-2852-b670b822c535/full/843,/0/default.jpg",https://www.artic.edu/artworks/151102,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-143631,Art Institute of Chicago,USA,Mahasiddha Manibhadra Under a Mango Tree with an Evicerated Dog,13th/14th century,14th c.,Sculpture,Terracotta,Nepal,1995.465,Gift of Paul Walter in honor of Dr. Pratapaditya Pal,"Paul F. Walter, Princeton, NJ; given to the Art Institute of Chicago, Apr. 5, 1996.",True,"https://www.artic.edu/iiif/2/32fc5803-b4ad-8f47-fa8c-3e07eac6c2f1/full/843,/0/default.jpg",https://www.artic.edu/artworks/143631,CC0 (description field CC-BY),place_of_origin: Nepal,strong
aic-27513,Art Institute of Chicago,USA,Wish-Fullfilling Gem Lord of the World (Chintamani Lokeshvara),19th century,19th c.,Sculpture,Bronze with coral and turquoise inlay,Nepal,1967.335a-d,Gift of Mr. and Mrs. Marvin N. Stone,"Mr. and Mrs. Marvin N. Stone, Chicago; given to the Art Institute of Chicago, June 7, 1967.",True,"https://www.artic.edu/iiif/2/fe91d817-d8f6-824d-b899-2beea9e49132/full/843,/0/default.jpg",https://www.artic.edu/artworks/27513,CC0 (description field CC-BY),place_of_origin: Nepal,strong
